model,subset,n_features,log_r2,raw_r2,rmse,mae,delta_vs_all7,d_lo,d_hi,d_p
XGBoost,all_7,7,0.940072849951617,0.9051796205028404,29.462571104176096,10.229667356051923,0.0,0.0,0.0,1.0
XGBoost,RAW_only,1,0.9199899812078941,0.9609022311890125,18.918895841895438,11.150354343021665,-0.020082868743722893,-0.05174308980311484,0.01219469780869777,0.19
XGBoost,no_RAW,6,0.2862407974028751,0.6164425509061944,59.25636542565906,23.698659359899768,-0.6538320525487419,-1.0377181867363243,-0.3956890503507445,0.0
XGBoost,RAW_plus_geometry,5,0.9301753702094069,0.8972855648754152,30.66447545895504,10.708147766980126,-0.009897479742210114,-0.017926132231238973,-0.005229656367077381,0.0
XGBoost,drop_Volume,6,0.9336664602737607,0.9201984244287382,27.028723284391138,10.33292799543216,-0.006406389677856339,-0.021255736571395834,0.00274136082919162,0.2
XGBoost,drop_Area,6,0.9378340854975311,0.898029264757136,30.55326131048515,10.699341309884305,-0.002238764454085884,-0.010274272299523563,0.004552015163171178,0.495
XGBoost,drop_MaxHeight,6,0.9450508275895115,0.8973521786448826,30.654530373874707,11.064714937588256,0.004977977637894537,-0.011922855919549344,0.027782354986326727,0.68
XGBoost,drop_CenterDiviation,6,0.9337132708536076,0.9053027941264946,29.443428642552263,10.415802366331317,-0.006359579098009438,-0.012323709407141326,-0.0029366562310271654,0.0
XGBoost,drop_UsedCoilArea,6,0.9336623132973174,0.9076140388483261,29.081900872049303,10.5071133830316,-0.006410536654299581,-0.01336561109927959,-0.0015428859381876967,0.015
XGBoost,drop_SensorTemp,6,0.9357957632988333,0.903808258366581,29.674860983471575,10.596463046950573,-0.0042770866527837015,-0.008365110426622593,-0.0009717831460857687,0.015
XGBoost,drop_SensorValueRAW,6,0.2862407974028751,0.6164425509061944,59.25636542565906,23.698659359899768,-0.6538320525487419,-1.0377181867363243,-0.3956890503507445,0.0
RandomForest,all_7,7,0.9431546916163414,0.9067393508961826,29.21924675293326,10.363600734828841,0.0,0.0,0.0,1.0
RandomForest,RAW_only,1,0.9185598325174549,0.9540425303098056,20.51152042376785,11.280801576486311,-0.02459485909888648,-0.04845418256380185,-0.006686614926884809,0.015
RandomForest,no_RAW,6,0.40964939917909293,0.6898441519335494,53.28559090788677,21.677839540721337,-0.5335052924372484,-0.7980756232597672,-0.34229891261670714,0.0
RandomForest,RAW_plus_geometry,5,0.9392441906530413,0.8954993831545315,30.92995057917671,10.759156380457997,-0.003910500963300034,-0.007668932666686312,-0.00163191813858755,0.0
RandomForest,drop_Volume,6,0.9219345150206583,0.7037485198562907,52.07749231520975,16.074944293734315,-0.021220176595683093,-0.04333128571115912,-0.006921490786826874,0.005
RandomForest,drop_Area,6,0.9357585244173771,0.8617839344641056,35.57124469837863,12.277315474328837,-0.0073961671989642985,-0.01844785680165014,0.0012172682762687085,0.07
RandomForest,drop_MaxHeight,6,0.9327563430049522,0.8170227490799965,40.92779507256287,13.378552272926894,-0.010398348611389108,-0.018996855592385783,-0.0037169221256295997,0.0
RandomForest,drop_CenterDiviation,6,0.9346911321641134,0.8739147953050839,33.974405265964805,11.7844313539897,-0.008463559452227987,-0.01494948264771394,-0.0037749589386743706,0.0
RandomForest,drop_UsedCoilArea,6,0.9337623739619061,0.8769083382228922,33.56866859105748,11.510300115145501,-0.009392317654435267,-0.01687286164449004,-0.004894818904307974,0.005
RandomForest,drop_SensorTemp,6,0.9351610720290623,0.8639798838515014,35.287538887123695,12.09258880998306,-0.007993619587279066,-0.013581188942647121,-0.003926896454887226,0.0
RandomForest,drop_SensorValueRAW,6,0.4096493991790928,0.6898441519335496,53.28559090788676,21.677839540721337,-0.5335052924372485,-0.7980756232597676,-0.34229891261670714,0.0
