candidate,arm,gain_log_r2,lo,hi,p,passes_fdr,selected
prod_RAW_x_MaxHeight,broad,0.002613065582442786,-0.001960799888729092,0.007643762403524428,0.285,False,False
RawTimesCoverage,physics,0.001983060745292864,-0.0008249230366706493,0.005217473634931956,0.17,False,False
prod_RAW_x_Volume,broad,0.0004160882433432711,-0.004221915304585697,0.004222298464530617,0.88,False,False
prod_RAW_x_UsedCoilArea,broad,0.0002651934143208523,-0.0020963854976388447,0.0025063107647852073,0.77,False,False
ratio_Area_to_Area,broad,-0.0008022921075326872,-0.004936395201176843,0.0022677066360148285,0.81,False,False
RawPerArea,physics,-0.000830658876762369,-0.0064472688800244395,0.0029631769009785254,0.66,False,False
RawPerVolume,physics,-0.00125517002233555,-0.006765265823214594,0.002720002400384929,0.59,False,False
CoilCoverage,physics,-0.00180205642068898,-0.007699496299370176,0.0025029267520542873,0.565,False,False
ratio_UsedCoilArea_to_Area,broad,-0.00180205642068898,-0.007699496299370176,0.0025029267520542873,0.565,False,False
log_UsedCoilArea,broad,-0.0018946550043618116,-0.006565898925362812,0.0012590721848025049,0.375,False,False
ratio_CenterDiviation_to_Area,broad,-0.0019968866560521326,-0.00785539833130022,0.0020509928096913124,0.51,False,False
prod_RAW_x_Area,broad,-0.002384065571861771,-0.011810076355181562,0.004523189281994841,0.58,False,False
log_Volume,broad,-0.0024259504430678147,-0.00810804502574311,0.0020213672148322696,0.395,False,False
NormDeviation,physics,-0.0024819465384956496,-0.009170246424768904,0.0017753399532338759,0.445,False,False
log_CenterDiviation,broad,-0.0024842598300522933,-0.008555650006319592,0.0014161437948241563,0.35,False,False
log_MaxHeight,broad,-0.0025121142911002092,-0.007634594664486288,0.0012025471706537615,0.175,False,False
log_SensorTemp,broad,-0.0025944238643496043,-0.007736476668482755,0.0012783916539384891,0.235,False,False
ratio_SensorTemp_to_Area,broad,-0.0032554692344418656,-0.008296626995738502,0.0006829564081177376,0.095,False,False
RawPerCoilArea,physics,-0.0035296884888793567,-0.011766599209501363,0.0017354818787476047,0.31,False,False
log_Area,broad,-0.0042749078969117615,-0.01178033550645081,0.000797512961862108,0.12,False,False
ratio_MaxHeight_to_Area,broad,-0.005964883855282377,-0.014317675384032802,-0.0006228087912193685,0.025,False,False
AspectRatio,physics,-0.009741214411677412,-0.024436026169766235,-0.00010178603886106942,0.045,False,False
Density,physics,-0.010925966393444786,-0.021474352024136674,-0.002208029293697342,0.005,True,False
ratio_Volume_to_Area,broad,-0.010925966393444786,-0.021474352024136674,-0.002208029293697342,0.005,True,False
