model,block,importance,across_config_sd,ci_lo,ci_hi,max_p,above_control
RandomForest,Area,0.017421838672800567,0.0008624502986873436,0.005216943221018088,0.030717607478745315,0.015,True
RandomForest,CenterDiviation,0.0004788357787566995,1.8359883917053323e-05,0.0002744443396706958,0.0008181643289863141,0.0,True
RandomForest,GEOMETRY_BLOCK,0.15639943190051114,0.0015944360871867685,0.11066473341824097,0.22835406789598728,0.0,True
RandomForest,MaxHeight,0.006480528051847327,0.00027439793083694936,-0.0012567571224400514,0.01535107355027413,0.145,False
RandomForest,SensorTemp,0.00019346572256779827,1.7115968074178672e-05,7.440361951251307e-05,0.0004071059508862401,0.005,False
RandomForest,SensorValueRAW,0.6331125254575785,0.0017998106278361212,0.4599947226321355,0.9085654929850592,0.0,True
RandomForest,UsedCoilArea,0.001516787636612323,0.00010758545832456472,0.00011556056589438352,0.0033788658540596134,0.05,True
RandomForest,Volume,0.0942588088788462,0.002772578593196599,0.06606924009470669,0.1463581185210989,0.0,True
XGBoost,Area,0.015231720570715816,0.0022093466763722716,0.0071994311053074555,0.025060567589286945,0.0,True
XGBoost,CenterDiviation,0.0040277312927984015,0.00023925485934624135,0.002587630854883526,0.006944398777305503,0.0,True
XGBoost,GEOMETRY_BLOCK,0.0793574540374734,0.004814358038412774,0.04405789483295874,0.13516608813781997,0.0,True
XGBoost,MaxHeight,-0.002711150567261737,0.0012240113031731182,-0.02391574877901781,0.012185585137602978,0.955,False
XGBoost,SensorTemp,0.002331504429575015,0.00021394630388401608,0.0014234043750151022,0.004178857755232722,0.0,False
XGBoost,SensorValueRAW,0.7288382335553583,0.01014298360340675,0.5524688531336935,1.0307726813809128,0.0,True
XGBoost,UsedCoilArea,0.0022058695681267835,0.0004412991007472999,-0.0007120626441658343,0.0055133960970470556,0.29,False
XGBoost,Volume,0.0802307543882703,0.01155285581986423,0.05236479657105169,0.12805069339541175,0.0,True
