model,feature,mean_abs_shap
XGBoost,Volume,0.34439513087272644
XGBoost,Area,0.0664220005273819
XGBoost,MaxHeight,0.10173589736223221
XGBoost,CenterDiviation,0.04800083488225937
XGBoost,UsedCoilArea,0.026754911988973618
XGBoost,SensorTemp,0.014383367262780666
XGBoost,SensorValueRAW,1.141558051109314
RandomForest,Volume,0.36587779590020125
RandomForest,Area,0.14711014744974935
RandomForest,MaxHeight,0.12462943157745808
RandomForest,CenterDiviation,0.0032137139741577584
RandomForest,UsedCoilArea,0.020670966314686103
RandomForest,SensorTemp,0.002368278264199227
RandomForest,SensorValueRAW,0.9807389765890729
